UserID	RG_case	Missing_Daily_Transactions	First_Deposit_Date	Registration_date	CountryName	LanguageName	Gender	YearofBirth	age_at_registration	sum_stakes_fixedodds	sum_bets_fixedodds	bettingdays_fixedodds	duration_fixedodds	frequency_fixedodds	bets_per_day_fixedodds	euros_per_bet_fixedodds	net_loss_fixedodds	percent_lost_fixedodds	sum_stakes_liveaction	sum_bets_liveaction	bettingdays_liveaction	duration_liveaction	frequency_liveaction	bets_per_day_liveaction	euros_per_bet_liveaction	net_loss_liveaction	percent_lost_liveaction	sum_stakes_casino	sum_bets_casino	bettingdays_casino	duration_casino	frequency_casino	bets_per_day_casino	euros_per_bet_casino	net_loss_casino	percent_lost_casino	net_loss_fixedodds_nonzero	percent_lost_fixedodds_nonzero	net_loss_liveaction_nonzero	percent_lost_liveaction_nonzero	net_loss_casino_nonzero	percent_lost_casino_nonzero	sum_stakes_fixedodds_sqrt	sum_bets_fixedodds_sqrt	bettingdays_fixedodds_sqrt	duration_fixedodds_sqrt	frequency_fixedodds_sqrt	bets_per_day_fixedodds_sqrt	euros_per_bet_fixedodds_sqrt	net_loss_fixedodds_nonzero_sqrt	percent_lost_fixedodds_nonzero_sqrt	sum_stakes_liveaction_sqrt	sum_bets_liveaction_sqrt	bettingdays_liveaction_sqrt	duration_liveaction_sqrt	frequency_liveaction_sqrt	bets_per_day_liveaction_sqrt	euros_per_bet_liveaction_sqrt	net_loss_liveaction_nonzero_sqrt	percent_lost_liveaction_nonzero_sqrt	sum_stakes_casino_sqrt	sum_bets_casino_sqrt	bettingdays_casino_sqrt	duration_casino_sqrt	frequency_casino_sqrt	bets_per_day_casino_sqrt	euros_per_bet_casino_sqrt	net_loss_casino_nonzero_sqrt	percent_lost_casino_nonzero_sqrt	sum_stakes_fixedodds_sqrt_zeros	sum_bets_fixedodds_sqrt_zeros	bettingdays_fixedodds_sqrt_zeros	duration_fixedodds_sqrt_zeros	frequency_fixedodds_sqrt_zeros	bets_per_day_fixedodds_sqrt_zeros	euros_per_bet_fixedodds_sqrt_zeros	net_loss_fixedodds_sqrt_zeros	percent_lost_fixedodds_sqrt_zeros	sum_stakes_liveaction_sqrt_zeros	sum_bets_liveaction_sqrt_zeros	bettingdays_liveaction_sqrt_zeros	duration_liveaction_sqrt_zeros	frequency_liveaction_sqrt_zeros	bets_per_day_liveaction_sqrt_zeros	euros_per_bet_liveaction_sqrt_zeros	net_loss_liveaction_sqrt_zeros	percent_lost_liveaction_sqrt_zeros	sum_stakes_casino_sqrt_zeros	sum_bets_casino_sqrt_zeros	bettingdays_casino_sqrt_zeros	duration_casino_sqrt_zeros	frequency_casino_sqrt_zeros	bets_per_day_casino_sqrt_zeros	euros_per_bet_casino_sqrt_zeros	net_loss_casino_sqrt_zeros	percent_lost_casino_sqrt_zeros
31965	1	0	5/8/2000	9/17/1999	Germany.COM	German	M	1971	27	7818.2303	837	391	3759	.104017025804735	2.14066496163683	9.34077694145759	1459.0826	.186625686889781	94365.54	10359	952	2917	.326362701405554	10.8813025210084	9.10952215464813	12494.0200000001	.132400238476885	20366.85	1672	18	1317	.0136674259681093	92.8888888888889	12.1811303827751	908.25	.044594524926535	34677.0826	13.1866256868898	34557.0200000001	8.13240023847688	36760.25	7.04459452492654	88.4207571783911	28.9309522829789	19.7737199332852	61.3106842238773	.322516706241297	1.46310114538839	3.05626846684934	186.21783641746	3.63133937919465	307.189745922614	101.779172722124	30.854497241083	54.0092584655631	.571281630551476	3.29868193692699	3.01819849490522	185.895185521304	2.85173635500845	142.712473175963	40.8900966005217	4.24264068711928	36.2904946232481	.116907766928076	9.63788819653397	3.4901476161869	191.729627340169	2.65416550443384	88.4207571783911	28.9309522829789	19.7737199332852	61.3106842238773	.322516706241297	1.46310114538839	3.05626846684934	186.21783641746	3.63133937919465	307.189745922614	101.779172722124	30.854497241083	54.0092584655631	.571281630551476	3.29868193692699	3.01819849490522	185.895185521304	2.85173635500845	142.712473175963	40.8900966005217	4.24264068711928	36.2904946232481	.116907766928076	9.63788819653397	3.4901476161869	191.729627340169	2.65416550443384
32639	0	0	11/21/2002	10/3/1999	Austria	German	M	1969	29	519.78	29	12	162	.0740740740740741	2.41666666666667	17.9234482758621	93.03	.178979568278887	5.35	1	1	1	1	1	5.35	5.35	1	 	 	 	 	 	 	 	 	 	33311.03	13.1789795682789	22068.35	9	 	 	22.798684172557	5.3851648071345	3.46410161513775	12.7279220613579	.272165526975909	1.5545631755148	4.23360936741477	182.513095420575	3.63028643061107	2.31300670124408	1	1	1	1	1	2.31300670124408	148.55419886358	3	 	 	 	 	 	 	 	 	 	22.798684172557	5.3851648071345	3.46410161513775	12.7279220613579	.272165526975909	1.5545631755148	4.23360936741477	182.513095420575	3.63028643061107	2.31300670124408	1	1	1	1	1	2.31300670124408	148.55419886358	3	0	0	0	0	0	0	0	0	0
36822	0	0	5/8/2000	3/20/2000	Austria	German	M	1970	29	73.868	32	7	2242	.00312221231043711	4.57142857142857	2.308375	21.668	.293334055341961	24	6	2	7	.285714285714286	3	4	-24.7	-1.02916666666667	 	 	 	 	 	 	 	 	 	33239.668	13.293334055342	22038.3	6.97083333333333	 	 	8.59464949837979	5.65685424949238	2.64575131106459	47.3497624070069	.0558767600209346	2.1380899352994	1.51933373555648	182.317492303948	3.64600247604715	4.89897948556636	2.44948974278318	1.4142135623731	2.64575131106459	.534522483824849	1.73205080756888	2	148.453022872557	2.64023357552572	 	 	 	 	 	 	 	 	 	8.59464949837979	5.65685424949238	2.64575131106459	47.3497624070069	.0558767600209346	2.1380899352994	1.51933373555648	182.317492303948	3.64600247604715	4.89897948556636	2.44948974278318	1.4142135623731	2.64575131106459	.534522483824849	1.73205080756888	2	148.453022872557	2.64023357552572	0	0	0	0	0	0	0	0	0
36916	1	0	6/13/2000	3/21/2000	Austria	German	M	1969	31	4372.9836	380	85	1617	.0525664811379097	4.47058823529412	11.5078515789474	551.203099999999	.126047374154342	79	3	2	161	.0124223602484472	1.5	26.3333333333333	79	1	20890.75	9194	8	3076	.00260078023407022	1149.25	2.27221557537524	1139	.0545217380898244	33769.2031	13.1260473741543	22142	9	36991	7.05452173808982	66.1285384686521	19.4935886896179	9.21954445729289	40.2119385257662	.229273812586413	2.1143765594837	3.39232244619337	183.76398749483	3.62298873503001	8.88819441731559	1.73205080756888	1.4142135623731	12.6885775404495	.111455642515071	1.22474487139159	5.13160143944688	148.801881708532	3	144.53632761351	95.885348202945	2.82842712474619	55.4616984954482	.0509978453865477	33.9005899653679	1.50738700252299	192.330444807888	2.65603496552471	66.1285384686521	19.4935886896179	9.21954445729289	40.2119385257662	.229273812586413	2.1143765594837	3.39232244619337	183.76398749483	3.62298873503001	8.88819441731559	1.73205080756888	1.4142135623731	12.6885775404495	.111455642515071	1.22474487139159	5.13160143944688	148.801881708532	3	144.53632761351	95.885348202945	2.82842712474619	55.4616984954482	.0509978453865477	33.9005899653679	1.50738700252299	192.330444807888	2.65603496552471
38386	1	0	6/9/2000	4/21/2000	Austria	German	M	1974	25	251.1924	143	36	1162	.0309810671256454	3.97222222222222	1.75659020979021	73.2527	.291619889773735	 	 	 	 	 	 	 	 	 	4	4	1	1	1	4	1	4	1	33291.2527	13.2916198897737	 	 	35856	8	15.8490504447427	11.9582607431014	6	34.0881210981186	.176014394654657	1.99304345718357	1.32536418006154	182.458906880426	3.64576739381076	 	 	 	 	 	 	 	 	 	2	2	1	1	1	2	1	189.356806056714	2.82842712474619	15.8490504447427	11.9582607431014	6	34.0881210981186	.176014394654657	1.99304345718357	1.32536418006154	182.458906880426	3.64576739381076	0	0	0	0	0	0	0	0	0	2	2	1	1	1	2	1	189.356806056714	2.82842712474619
74438	0	0	6/9/2000	6/9/2000	Austria	German	M	1975	25	12957.5614	717	220	3330	.0660660660660661	3.25909090909091	18.0719126917713	-612.395100000002	-.047261601245432	1118	24	15	1625	.00923076923076923	1.6	46.5833333333333	437.7	.391502683363149	1809817	9938	85	2741	.0310105800802627	116.917647058824	182.110786878648	37173.5	.020539921992113	32605.6049	12.9527383987546	22500.7	8.39150268336315	73025.5	7.02053992199211	113.831284803432	26.7768556779918	14.8323969741913	57.706152185014	.257033200318687	1.80529524153001	4.25110723127179	180.570221520604	3.59899130295623	33.436506994601	4.89897948556636	3.87298334620742	40.3112887414927	.0960768922830523	1.26491106406735	6.82519840981442	150.002333315185	2.89680905193338	1345.29439157383	99.6895180046528	9.21954445729289	52.3545604508337	.176098211462419	10.8128463902353	13.4948429734713	270.232307468963	2.64963014815127	113.831284803432	26.7768556779918	14.8323969741913	57.706152185014	.257033200318687	1.80529524153001	4.25110723127179	180.570221520604	3.59899130295623	33.436506994601	4.89897948556636	3.87298334620742	40.3112887414927	.0960768922830523	1.26491106406735	6.82519840981442	150.002333315185	2.89680905193338	1345.29439157383	99.6895180046528	9.21954445729289	52.3545604508337	.176098211462419	10.8128463902353	13.4948429734713	270.232307468963	2.64963014815127
80281	0	0	6/13/2000	6/13/2000	Austria	German	M	1970	29	452.2123	72	37	724	.0511049723756906	1.94594594594595	6.28072638888889	18.6278000000001	.041192599139829	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	33236.6278	13.0411925991398	 	 	 	 	21.2652839153396	8.48528137423857	6.08276253029822	26.9072480941474	.226064089089113	1.39497166492583	2.50613774339897	182.309154460219	3.61125914317151	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	21.2652839153396	8.48528137423857	6.08276253029822	26.9072480941474	.226064089089113	1.39497166492583	2.50613774339897	182.309154460219	3.61125914317151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
90746	0	0	6/16/2004	6/21/2000	Austria	German	M	1981	19	85.8048	42	20	2199	.00909504320145521	2.1	2.04297142857143	32.4548	.378239911986276	10.5	12	6	2193	.0027359781121751	2	.875	-10.1	-.961904761904762	 	 	 	 	 	 	 	 	 	33250.4548	13.3782399119863	22052.9	7.03809523809524	 	 	9.26308803801411	6.48074069840786	4.47213595499958	46.8934963507734	.0953679359190247	1.44913767461894	1.42932551525936	182.347072364763	3.65762763440817	3.24037034920393	3.46410161513775	2.44948974278318	46.8294778958724	.0523065780965941	1.4142135623731	.935414346693485	148.502188536062	2.65294086592507	 	 	 	 	 	 	 	 	 	9.26308803801411	6.48074069840786	4.47213595499958	46.8934963507734	.0953679359190247	1.44913767461894	1.42932551525936	182.347072364763	3.65762763440817	3.24037034920393	3.46410161513775	2.44948974278318	46.8294778958724	.0523065780965941	1.4142135623731	.935414346693485	148.502188536062	2.65294086592507	0	0	0	0	0	0	0	0	0
91707	1	0	6/25/2000	6/24/2000	Austria	German	M	1966	34	2850.1087	82	43	3665	.0117326057298772	1.90697674418605	34.7574231707317	-42.8122000000008	-.0150212516455954	101	5	2	20	.1	2.5	20.2	-6.25	-.0618811881188119	6068694.75	183467	835	2101	.397429795335555	219.720958083832	33.0778546005549	148866.24	.0245301907794918	33175.1878	12.9849787483544	22056.75	7.93811881188119	184718.24	7.02453019077949	53.3864093192266	9.05538513813742	6.557438524302	60.5392434706612	.108317153442459	1.38093328737707	5.8955426527786	182.14057153748	3.60346760056954	10.0498756211209	2.23606797749979	1.4142135623731	4.47213595499958	.316227766016838	1.58113883008419	4.49444101084885	148.515150742273	2.81746673660599	2463.47209239317	428.330479886734	28.8963665535998	45.8366665454634	.630420332266936	14.8229874884867	5.75133502767443	429.788599197327	2.65038302718296	53.3864093192266	9.05538513813742	6.557438524302	60.5392434706612	.108317153442459	1.38093328737707	5.8955426527786	182.14057153748	3.60346760056954	10.0498756211209	2.23606797749979	1.4142135623731	4.47213595499958	.316227766016838	1.58113883008419	4.49444101084885	148.515150742273	2.81746673660599	2463.47209239317	428.330479886734	28.8963665535998	45.8366665454634	.630420332266936	14.8229874884867	5.75133502767443	429.788599197327	2.65038302718296
92140	0	0	6/25/2000	6/25/2000	Austria	German	M	1973	27	13951.7251	542	251	2474	.101455133387227	2.1593625498008	25.7411902214022	159.805100000005	.0114541462689804	115.57	18	9	1394	.00645624103299857	2	6.42055555555556	28.52	.246776845202042	356217.66	20910	182	1476	.123306233062331	114.89010989011	17.035756097561	2688.51999999996	.00754740795276675	33377.8051	13.011454146269	22091.52	8.24677684520204	38540.52	7.00754740795277	118.117420815052	23.2808934536456	15.8429795177549	49.7393204617835	.318520224455571	1.46947696470574	5.07357765500857	182.695936189068	3.60713933003273	10.7503488315496	4.24264068711928	3	37.3363094051889	.080350737600837	1.4142135623731	2.53388151963653	148.632163410212	2.87172018922493	596.839727230016	144.602904535144	13.490737563232	38.4187454245971	.351149872650312	10.7186804173886	4.12743941173713	196.317396070751	2.64717725283986	118.117420815052	23.2808934536456	15.8429795177549	49.7393204617835	.318520224455571	1.46947696470574	5.07357765500857	182.695936189068	3.60713933003273	10.7503488315496	4.24264068711928	3	37.3363094051889	.080350737600837	1.4142135623731	2.53388151963653	148.632163410212	2.87172018922493	596.839727230016	144.602904535144	13.490737563232	38.4187454245971	.351149872650312	10.7186804173886	4.12743941173713	196.317396070751	2.64717725283986
